Row Labels,Sum of year
1960,1960
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1960
ARGENTINA,1960
1961,1961
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1961
ARGENTINA,1961
1962,1962
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1962
ARGENTINA,1962
1963,1963
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1963
ARGENTINA,1963
1964,1964
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1964
ARGENTINA,1964
1965,1965
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1965
ARGENTINA,1965
1966,1966
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1966
ARGENTINA,1966
1967,1967
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1967
ARGENTINA,1967
1968,1968
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1968
ARGENTINA,1968
1969,1969
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1969
ARGENTINA,1969
1970,1970
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1970
ARGENTINA,1970
1971,1971
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1971
ARGENTINA,1971
1972,1972
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1972
ARGENTINA,1972
1973,1973
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1973
ARGENTINA,1973
1974,1974
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1974
ARGENTINA,1974
1975,1975
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1975
ARGENTINA,1975
1976,1976
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1976
ARGENTINA,1976
1977,1977
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1977
ARGENTINA,1977
1978,1978
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1978
ARGENTINA,1978
1979,1979
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1979
ARGENTINA,1979
1980,1980
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1980
ARGENTINA,1980
1981,1981
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1981
ARGENTINA,1981
1982,1982
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1982
ARGENTINA,1982
1983,1983
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1983
ARGENTINA,1983
1984,1984
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1984
ARGENTINA,1984
1985,1985
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1985
ARGENTINA,1985
1986,1986
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1986
ARGENTINA,1986
1987,1987
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1987
ARGENTINA,1987
1988,1988
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1988
ARGENTINA,1988
1989,1989
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1989
ARGENTINA,1989
1990,1990
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1990
ARGENTINA,1990
1991,1991
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1991
ARGENTINA,1991
1992,1992
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1992
ARGENTINA,1992
1993,1993
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1993
ARGENTINA,1993
1994,1994
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1994
ARGENTINA,1994
1995,1995
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1995
ARGENTINA,1995
1996,1996
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1996
ARGENTINA,1996
1997,1997
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1997
ARGENTINA,1997
1998,1998
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1998
ARGENTINA,1998
1999,1999
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),1999
ARGENTINA,1999
2000,2000
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2000
ARGENTINA,2000
2001,2001
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2001
ARGENTINA,2001
2002,2002
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2002
ARGENTINA,2002
2003,2003
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2003
ARGENTINA,2003
2004,2004
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2004
ARGENTINA,2004
2005,2005
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2005
ARGENTINA,2005
2006,2006
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2006
ARGENTINA,2006
2007,2007
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2007
ARGENTINA,2007
2008,2008
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2008
ARGENTINA,2008
2009,2009
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2009
ARGENTINA,2009
2010,2010
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2010
ARGENTINA,2010
2011,2011
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2011
ARGENTINA,2011
2012,2012
AMÉRICA LATINA Y EL CARIBE (EXCLUIDO ALTOS INGRESOS),2012
ARGENTINA,2012
